ID_News,Crypto_Code,Kind,Title,Positive_Votes,Negative_Votes,Important_Votes,Liked_Votes,Disliked_Votes,LOL_Votes,Toxic_Votes,Saved,Comments,published_at,Domain
19417746,SOL,news,Solana vs Ethereum again: ‘Small blocker argument’ returns,4,2,1,2,1,2,0,1,10,2024-04-18 16:00:41,ambcrypto.com
19413856,SOL,news,Solana DePIN io.net announces tokenomics with hourly rewards and burn mechanism,5,5,2,4,5,3,0,1,0,2024-04-17 12:26:56,cryptobriefing.com
19408717,SOL,news,Solana Whales Scoop Up Millions of Dollars Worth of Memecoins As Crypto Markets Dip: Lookonchain,3,4,0,2,5,2,0,1,0,2024-04-15 20:00:29,dailyhodl.com
19408419,SOL,news,Solana’s Cat-Themed MEW Soars 88% Upon Whale’s 479M Purchase,2,9,0,2,10,5,0,1,3,2024-04-15 17:35:00,dailycoin.com
19408121,SOL,news,"Adidas Releasing $2,500 Solana NFT Sneakers in Move-to-Earn Game 'Stepn'",2,4,0,1,5,4,0,1,2,2024-04-15 15:34:06,decrypt.co
19407192,SOL,news,Solana (SOL) Jumps 9% as Major Congestion Fix Hits Mainnet,5,3,1,4,4,3,0,1,1,2024-04-15 11:09:00,u.today
19405438,SOL,news,Solana (SOL) to Become Market's Leader? Chris Burniske Predicts,6,10,0,4,12,15,0,1,2,2024-04-14 13:39:00,u.today
19405204,SOL,news,"Solana below $150, crashes 20% in 7 days: Is SOL staring into the void?",4,3,0,3,2,6,0,0,3,2024-04-14 10:00:43,ambcrypto.com
19399956,SOL,news,Analyst Predicts Solana (SOL) Bounce Amid Network Congestion Problems,4,2,1,1,1,3,0,0,2,2024-04-11 20:00:29,newsbtc.com
19396887,SOL,news,"Solana & Other Top Coins Lose Trading Volume, Market Interest Down?",0,6,1,0,0,2,0,0,0,2024-04-10 20:00:48,bitcoinist.com
19394665,SOL,news,Coinbase to Add New Solana Token SHDW Amid Volatility Warnings,8,0,8,8,0,0,0,7,0,2024-04-10 06:49:09,coinpaprika.com
19392157,SOL,news,Solana devs target April 15 to fix failed transactions bug,6,6,2,7,5,4,0,0,2,2024-04-09 09:58:49,coinjournal.net
19389718,SOL,news,Cardano founder Charles Hoskinson declines BitBoy crypto debate invitation,3,3,0,3,2,3,0,0,0,2024-04-08 13:22:56,cryptopolitan.com
19388786,SOL,news,"FTX Sells Off Solana Assets at a Discount, Sparking Market Watch",5,2,0,4,0,1,0,1,0,2024-04-08 10:37:22,coinpaprika.com
19385192,SOL,news,Dogwifhat (WIF) Chasing After DOGE and SHIB: New Top Dog Meme Coin to Come?,5,1,1,3,0,0,0,2,0,2024-04-06 07:04:00,u.today
19385010,SOL,news,"Is Not Holding ADA A ‘Red Flag’? Cardano’s Founder Thinks So, Community Pokes At Solana",6,4,2,5,3,2,0,0,0,2024-04-06 02:00:51,newsbtc.com
19384861,SOL,news,Cardano War Chest Growing: Why Is ADA Dropping?,5,6,1,5,4,5,0,0,1,2024-04-05 23:30:51,bitcoinist.com
19382862,SOL,news,Solana’s crisis: Checking why 75% of user txns. are failing,3,4,1,2,3,5,0,0,8,2024-04-05 10:00:19,ambcrypto.com
19382840,SOL,news,Solana scrambles to tackle failed transaction surge and user complaints,4,3,2,4,1,3,0,0,1,2024-04-05 09:59:26,cryptoslate.com
19382442,SOL,news,Users Prefer Using Cardano Over Solana Due to Transaction Delays,4,2,3,3,2,2,0,0,1,2024-04-05 06:52:58,coinedition.com
19381740,SOL,news,Solana ‘beats’ Bitcoin with ‘2nd highest’ figures – Good news for SOL investors?,2,5,1,2,4,3,0,1,1,2024-04-04 22:00:23,ambcrypto.com
19380560,SOL,news,Binance Announces Expanded Support for Solana Meme Coins WIF and BOME,6,0,0,3,0,0,0,1,0,2024-04-04 14:21:00,u.today
19377430,SOL,news,"Solana’s stablecoin supply surges past $3 billion, USDC leads the charge",3,3,1,2,3,1,0,2,0,2024-04-03 14:07:44,cryptoslate.com
19369733,SOL,news,Solana Surging Ahead Of Ethereum In This Particular Metric,3,10,0,2,9,5,0,1,1,2024-03-31 17:00:33,bitcoinist.com
19368410,SOL,news,Solana (SOL) Continues To Soar – How High Can It Go?,7,5,3,5,5,4,0,1,0,2024-03-30 16:00:31,newsbtc.com
19361263,SOL,news,"Here’s How High Solana (SOL) Could Surge, According to Coin Bureau’s Guy Turner",5,4,0,3,1,1,0,1,0,2024-03-27 19:55:23,dailyhodl.com
19359030,SOL,news,Solana Embraces Circle's Innovative Protocol for Easier Crypto Transfers,7,0,3,5,0,0,0,2,0,2024-03-27 07:18:00,coinpaprika.com
19358344,SOL,news,The Next Shiba Inu? ChatGPT Makes Crazy Predictions for The Next Big Memecoins on Solana,8,1,4,5,0,1,0,4,0,2024-03-26 22:01:45,zycrypto.com
19353774,SOL,news,Solana (SOL) Flips Major Resistance as Analyst Predicts $250 Target,5,1,4,5,0,0,0,1,0,2024-03-25 13:32:00,u.today
19346279,SOL,news,Solana price wavers but increased DApp activity points to SOL recovery,4,2,1,4,0,0,0,1,0,2024-03-21 17:18:51,cointelegraph.com
19343624,SOL,news,Solana (SOL) Price Dips as Institutional Interest Declines – Can it Bounce Back?,1,5,0,2,0,4,0,1,2,2024-03-20 19:30:00,beincrypto.com
19343592,SOL,news,Top 3 Solana Meme Coins To Buy Amid The Bitcoin Crash That Could 10x,1,10,0,1,7,7,0,1,0,2024-03-20 20:00:38,newsbtc.com
19343176,SOL,news,Solana: Analyst says ‘still bullish as hell’ on SOL despite pullbacks,5,4,2,4,1,1,0,1,0,2024-03-20 18:00:21,ambcrypto.com
19337058,SOL,news,Solana Surpasses Ethereum In Major Metric Amid Surge Above $200,6,5,3,6,2,4,0,1,3,2024-03-18 19:00:16,newsbtc.com
19335368,SOL,news,"Solana (SOL) Flips Binance Coin (BNB), Is Ethereum Next?",5,1,2,5,1,4,0,1,6,2024-03-18 09:47:00,u.today
19335351,SOL,news,Solana Targets $1 Trillion Cap as The Retail Chain of Choice,11,7,7,10,5,3,0,3,2,2024-03-18 09:42:35,coinpaprika.com
19334228,SOL,news,Solana’s network hit with massive congestion; Will SOL retreat?,1,8,5,4,5,8,0,2,32,2024-03-17 17:25:17,finbold.com
19331992,SOL,news,Solana Price Prediction as $12 Billion Trading Volume Sends SOL Below $170 – Time to Buy the Dip?,2,6,0,1,4,2,0,2,2,2024-03-16 00:54:14,cryptonews.com
19331473,SOL,news,Solana Market Cap Hits New All-Time High as SOL Price Tops $185,6,4,2,4,5,3,1,1,4,2024-03-15 18:46:02,decrypt.co
19326556,SOL,news,"Solana (SOL) to Hit ATH, But There's Major Problem",6,1,1,4,2,3,0,1,0,2024-03-14 09:01:00,u.today
19324992,SOL,news,"Ethereum Is Not Done: Crypto Analyst Sets New $5,000 Target",10,0,4,6,0,2,0,0,0,2024-03-13 17:00:03,newsbtc.com
